,Description,Genre
0,Andreas Dresen's adaptation of Clemens Meyer's novel about a group of East German friends right after the fall of the Wall.,Non Crime
1,"Norah Larkin is a single woman whose heart is broken after receiving a ""Dear John"" letter. After a night of drinking she passes out in the apartment of womaniser Harry Prebble, awaking to find herself accused of his murder.",Crime
2,"Angela, a corporate climber, gets stuck working late on Christmas Eve and finds herself the target of an unhinged security guard. With no help in sight, the woman must overcome physical and psychological challenges to survive.",Non Crime
3,"Commissaire Edouard Coleman is a Paris police chief whose life investigating violent crimes has left him despondent. After beginning an affair with a beautiful but cold woman named Cathy, he befriends her boyfriend, Simon, a local nightclub owner. Unbeknownst to Edouard, however, Simon is also a ruthless bank robber and drug smuggler who is planning one final heist. Edouard is forced to pursue Simon after learning his true identity.",Crime
4,"The world is shocked by the appearance of two talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society; but one man believes them to be a threat to the human race.",Non Crime
5,"When two poor greasers, Johnny, and Ponyboy are assaulted by a vicious gang, the socs, and Johnny kills one of the attackers, tension begins to mount between the two rival gangs, setting off a turbulent chain of events.",Crime
6,"Set in Hong Kong and Vancouver, the story follows Mac Ramsey and Li Ann Tsei, lovers and professional thieves who are separated while fleeing the powerful Hong Kong underworld crime lord who raised and trained them. After being imprisoned in Hong Kong, Mac is forcefully recruited into a clandestine international crime-fighting unit by a hard-nosed, menacing Director. He is teamed in Vancouver with Li Ann, who thought Mac was dead, and her new fiancé Victor Mansfield, an ex-cop who is attracted to the unorthodox methods of the agency. Conflict flares between Mac and Victor as the trio take on their assignment. They soon learn that their principal target is their foster brother Michael Tang, who had been given Li Ann as his future wife and who has vowed to hunt down the pair for their disloyalty to the ""family"".",Crime
7,"Je-In (Ha Ji-Won) is a mystery novel writer. She chases after a serial killer with her longtime friend Rok-Hwan (Chun Jung-Myung). Rok-Hwan is a detective. A handsome and mysterious man, Jason (Chen Bolin), appears in front of them. ",Non Crime
8,"3 young friends are on vacation in Spain, until weird things begin to occur and then a man from NASA tells them what's really going on: Dangerous Alien Organisms from the Apollo 14 Moon Mission, which was tested on animals on SkyLab. But then the organisms fell to earth with SkyLab and they are now starting to infect people by brutally killing them off. And these 3 friends and NASA scientist must get an antidote from a NASA Lab nearby and save themselves and the rest of the world.",Non Crime
9,"Leigh’s 29th birthday party takes a sudden turn when she announces that the evening maybe the last time her friends see her alive. A night of questions, coping and debauchery immediately follow.",Non Crime
10,The adventures of an investigator (Cagney) for the Bureau of Weights and Measures.,Crime
